language,word_count,subword_count,subword_word_ratio
English,30,51,1.7
English,32,45,1.40625
English,34,45,1.3235294117647058
English,31,42,1.3548387096774193
English,12,19,1.5833333333333333
English,13,20,1.5384615384615385
English,19,26,1.368421052631579
English,26,32,1.2307692307692308
English,26,31,1.1923076923076923
English,25,30,1.2
English,35,50,1.4285714285714286
English,36,51,1.4166666666666667
English,39,55,1.4102564102564104
English,27,42,1.5555555555555556
English,29,44,1.5172413793103448
English,26,42,1.6153846153846154
English,21,31,1.4761904761904763
English,23,33,1.434782608695652
English,26,35,1.3461538461538463
English,10,16,1.6
English,18,25,1.3888888888888888
English,11,19,1.7272727272727273
English,14,23,1.6428571428571428
English,10,21,2.1
English,12,24,2.0
English,15,22,1.4666666666666666
English,14,21,1.5
English,10,19,1.9
English,23,31,1.3478260869565217
English,20,30,1.5
English,23,34,1.4782608695652173
English,20,25,1.25
English,15,19,1.2666666666666666
English,15,21,1.4
English,34,47,1.3823529411764706
English,32,43,1.34375
English,33,47,1.4242424242424243
English,14,21,1.5
English,18,27,1.5
English,19,29,1.5263157894736843
English,38,64,1.6842105263157894
English,40,63,1.575
English,35,59,1.6857142857142857
English,27,44,1.6296296296296295
English,28,42,1.5
English,23,38,1.6521739130434783
English,27,33,1.2222222222222223
English,29,35,1.206896551724138
English,26,32,1.2307692307692308
English,22,28,1.2727272727272727
English,26,32,1.2307692307692308
English,21,27,1.2857142857142858
English,12,17,1.4166666666666667
English,15,23,1.5333333333333334
English,15,27,1.8
English,15,24,1.6
English,16,22,1.375
English,15,21,1.4
English,28,39,1.3928571428571428
English,36,47,1.3055555555555556
English,26,38,1.4615384615384615
English,22,28,1.2727272727272727
English,18,24,1.3333333333333333
English,19,26,1.368421052631579
English,18,24,1.3333333333333333
English,21,28,1.3333333333333333
English,15,20,1.3333333333333333
English,25,33,1.32
English,25,33,1.32
English,25,34,1.36
English,43,55,1.2790697674418605
English,39,51,1.3076923076923077
English,39,50,1.2820512820512822
English,23,32,1.391304347826087
English,24,34,1.4166666666666667
English,20,30,1.5
English,12,18,1.5
English,17,21,1.2352941176470589
English,10,14,1.4
English,21,26,1.2380952380952381
English,19,25,1.3157894736842106
English,18,23,1.2777777777777777
English,18,21,1.1666666666666667
English,18,21,1.1666666666666667
English,18,22,1.2222222222222223
English,10,14,1.4
English,10,17,1.7
English,10,14,1.4
English,27,39,1.4444444444444444
English,32,45,1.40625
English,29,42,1.4482758620689655
English,13,15,1.1538461538461537
English,12,17,1.4166666666666667
English,16,18,1.125
English,27,38,1.4074074074074074
English,31,46,1.4838709677419355
English,24,35,1.4583333333333333
English,23,28,1.2173913043478262
English,19,27,1.4210526315789473
English,18,24,1.3333333333333333
English,21,34,1.619047619047619
English,26,38,1.4615384615384615
English,19,29,1.5263157894736843
English,21,32,1.5238095238095237
English,14,25,1.7857142857142858
English,16,28,1.75
English,27,34,1.2592592592592593
English,26,33,1.2692307692307692
English,28,35,1.25
English,19,26,1.368421052631579
English,11,16,1.4545454545454546
English,15,20,1.3333333333333333
English,14,18,1.2857142857142858
English,13,20,1.5384615384615385
English,19,22,1.1578947368421053
English,22,38,1.7272727272727273
English,16,32,2.0
English,17,33,1.9411764705882353
English,29,40,1.3793103448275863
English,26,34,1.3076923076923077
English,27,36,1.3333333333333333
English,30,38,1.2666666666666666
English,29,36,1.2413793103448276
English,29,37,1.2758620689655173
English,9,17,1.8888888888888888
English,13,19,1.4615384615384615
English,13,21,1.6153846153846154
English,35,45,1.2857142857142858
English,29,38,1.3103448275862069
English,34,43,1.2647058823529411
English,28,31,1.1071428571428572
English,27,30,1.1111111111111112
English,28,33,1.1785714285714286
English,31,44,1.4193548387096775
English,39,50,1.2820512820512822
English,36,49,1.3611111111111112
English,28,32,1.1428571428571428
English,22,26,1.1818181818181819
English,23,27,1.173913043478261
English,27,37,1.3703703703703705
English,29,40,1.3793103448275863
English,34,45,1.3235294117647058
English,13,16,1.2307692307692308
English,15,19,1.2666666666666666
English,12,15,1.25
English,13,20,1.5384615384615385
English,10,17,1.7
English,13,22,1.6923076923076923
English,22,28,1.2727272727272727
English,21,26,1.2380952380952381
